Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25323486247,26177090435,26708332257,27291160591,28098051895,30728041175,33707427086,35567783078,37726550584,38923464148,38985762279,39922605253,39859480456,40101591089,41711816068,43795016422,45824775161,47874676249,50055049171,52075061302,53774598836,52476906029,59165494348,65465432147,72500725108,79767612664,87225285643,95633795822,
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22870960795,22732166993,22529596385,21236052918,22148623128,23395111632,24861108731,26609431048,28109247371,29764325620,31523323421,33650053716,35614333412,37983514248,41674423401,43884550666,46796801516,50397348456,53178702549,54760660617,57326557791,60926183399,64867501724,69477344512,74885692657,79975809955,84761232058,89348733524,
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31026936644,29359910774,26876117816,23809484780,23367851922,24022216081,24210478723,23241653102,23112307706,22463969144,21387345901,21415334879,22385051576,24104918255,26436678979,28961433737,31439582781,34296623401,37146547474,38497263221,41737246483,45527503793,49652065613,54733432151,60992158145,65917654154,68360424265,72165883597,
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8108225097,8578794912,9003534420,9127447278,8809643910,9351800144,9931084314,10037942564,10526124951,10411243514,11454855438,12161409285,12913876062,13278504167,14117964621,15702416661,17194122704,17372426681,18700227525,20249559888,22290682819,23529134689,24873123621,26144458606,28418050783,29486460882,29026489374,28632756163,
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65364E+11,1.74289E+11,1.85472E+11,2.00111E+11,2.16253E+11,2.32248E+11,2.4135E+11,2.53902E+11,2.58119E+11,2.51052E+11,2.64275E+11,2.74833E+11,2.86039E+11,3.03174E+11,3.28124E+11,3.54622E+11,3.90296E+11,4.28125E+11,4.50741E+11,4.59638E+11,4.85479E+11,5.31984E+11,5.6293E+11,5.98145E+11,6.37669E+11,6.63638E+11,6.85295E+11,7.10108E+11,
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686482309.2,671058983.8,744909027.7,785557557.6,759940941.4,803798503.4,807900158.8,854844276.4,875204022,905697707.6,1026791701,1074691253,1116558648,1162782839,1217691378,1292536634,1367510786,1415136681,1500611621,1560393747,1639469716,1741922162,1830782403,1944063064,2020510799,2064887795,2136991911,2234346752,
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366127313.3,383625991.7,435287089.5,484451749.3,589669857.6,687518032.7,779502548.6,880995510.6,1002030079,1131539591,1322605071,1382934545,1477895455,1570317014,1778025748,1962096115,2183838467,2582078170,2807818687,2793200081,2868785587,3044224922,3133843837,3210020371,3287601951,3356714414,3559514613,3768984416,
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15614272038,16499535790,18427630594,20203208226,21559024291,22915762606,23622935430,25364345811,27424567015,28942248443,30735484379,32533176658,34119953157,36281243957,38895503388,41701060270,46093166820,51184898152,54615523831,54496197525,57893323066,61633610782,65779909103,68358928476,72031923311,75457435782,79664912413,83758739002,
Caribbean small states,CSS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36451849991,38450158183,39379382224,41533635593,43620394592,45882808680,48299553802,50697924001,52738772073,55747157335,59204650662,61918959402,65368280435,71137239611,76311209974,81746591044,90480762232,96089874723,99529492530,96794905252,99547635016,1.02742E+11,1.05959E+11,1.08772E+11,1.11484E+11,1.13914E+11,1.12882E+11,1.14914E+11,
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209371363,,,,,,,
